date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:58	2072/2072	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22619408a9-945%22	https://accountsfn.xyz/scripts/main.js	C:/My%20Web%20Sites/test/accountsfn.xyz/scripts/main.js	(from https://accountsfn.xyz/)
15:50:58	142900/142900	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226193e281-44736%22	https://accountsfn.xyz/code.jquery.com/jquery-3.4.1.js	C:/My%20Web%20Sites/test/accountsfn.xyz/code.jquery.com/jquery-3.4.1.js	(from https://accountsfn.xyz/)
15:50:58	12735/12735	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226193e281-4a81%22	https://accountsfn.xyz/code.jquery.com/jquery-migrate-3.1.0.js	C:/My%20Web%20Sites/test/accountsfn.xyz/code.jquery.com/jquery-migrate-3.1.0.js	(from https://accountsfn.xyz/)
15:50:59	42863/42863	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261940942-a76f%22	https://accountsfn.xyz/scripts/slick/slick.min.js	C:/My%20Web%20Sites/test/accountsfn.xyz/scripts/slick/slick.min.js	(from https://accountsfn.xyz/)
15:50:59	4178/4178	---M--	200	added ('OK')	image/gif	etag:%2261940942-1052%22	https://accountsfn.xyz/scripts/slick/ajax-loader.gif	C:/My%20Web%20Sites/test/accountsfn.xyz/scripts/slick/ajax-loader.gif	(from https://accountsfn.xyz/scripts/slick/slick-theme.css)
15:50:59	2354744/2354744	---M--	200	added ('OK')	image/jpeg	etag:%226193fd2f-23ee38%22	https://accountsfn.xyz/images/1526414.jpg	C:/My%20Web%20Sites/test/accountsfn.xyz/images/1526414.jpg	(from https://accountsfn.xyz/styles/main.min.css)
15:50:59	2025/2025	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Nov%202021%2014:50:59%20GMT	https://accountsfn.xyz/scripts/slick/fonts/slick.html	C:/My%20Web%20Sites/test/accountsfn.xyz/scripts/slick/fonts/slick.html	(from https://accountsfn.xyz/scripts/slick/slick-theme.css)
15:50:59	2025/2025	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Nov%202021%2014:50:59%20GMT	https://accountsfn.xyz/scripts/slick/fonts/slick-1.html	C:/My%20Web%20Sites/test/accountsfn.xyz/scripts/slick/fonts/slick-1.html	(from https://accountsfn.xyz/scripts/slick/slick-theme.css)
15:51:00	2025/2025	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Nov%202021%2014:50:59%20GMT	https://accountsfn.xyz/scripts/slick/fonts/slick-2.html	C:/My%20Web%20Sites/test/accountsfn.xyz/scripts/slick/fonts/slick-2.html	(from https://accountsfn.xyz/scripts/slick/slick-theme.css)
15:51:00	2025/2025	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Nov%202021%2014:51:00%20GMT	https://accountsfn.xyz/scripts/slick/fonts/slick-3.html	C:/My%20Web%20Sites/test/accountsfn.xyz/scripts/slick/fonts/slick-3.html	(from https://accountsfn.xyz/scripts/slick/slick-theme.css)
15:51:00	2025/2025	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Nov%202021%2014:51:00%20GMT	https://accountsfn.xyz/scripts/slick/fonts/slick-4.html	C:/My%20Web%20Sites/test/accountsfn.xyz/scripts/slick/fonts/slick-4.html	(from https://accountsfn.xyz/scripts/slick/slick-theme.css)
15:51:01	1223/1223	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Nov%202021%2014:51:00%20GMT	https://accountsfn.xyz/www.cba.pl/img/favicon.html	C:/My%20Web%20Sites/test/accountsfn.xyz/www.cba.pl/img/favicon.html	(from https://accountsfn.xyz/use.fontawesome.com/releases/v5.11.2/css/all.html)
15:51:01	1223/1223	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Nov%202021%2014:51:00%20GMT	https://accountsfn.xyz/www.cba.pl/img/404.html	C:/My%20Web%20Sites/test/accountsfn.xyz/www.cba.pl/img/404.html	(from https://accountsfn.xyz/use.fontawesome.com/releases/v5.11.2/css/all.html)
15:51:01	1223/1223	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Nov%202021%2014:51:01%20GMT	https://accountsfn.xyz/www.cba.pl/img/logo_cba.html	C:/My%20Web%20Sites/test/accountsfn.xyz/www.cba.pl/img/logo_cba.html	(from https://accountsfn.xyz/use.fontawesome.com/releases/v5.11.2/css/all.html)
15:51:01	1223/1223	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Nov%202021%2014:51:01%20GMT	https://accountsfn.xyz/www.cba.pl/img/404_server.html	C:/My%20Web%20Sites/test/accountsfn.xyz/www.cba.pl/img/404_server.html	(from https://accountsfn.xyz/use.fontawesome.com/releases/v5.11.2/css/all.html)
15:51:02	3303/3303	---MCZ	200	added ('OK')	text/css	etag:W/%22619409d8-ce7%22	https://accountsfn.xyz/styles/about.min.css	C:/My%20Web%20Sites/test/accountsfn.xyz/styles/about.min.css	(from https://accountsfn.xyz/about.html)
15:51:02	21228/21228	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Nov%202021%2014:51:01%20GMT	https://accountsfn.xyz/index-2.html	C:/My%20Web%20Sites/test/accountsfn.xyz/index-2.html	(from https://accountsfn.xyz/about.html)
15:51:02	428637/428637	---M--	200	added ('OK')	image/png	etag:%226193fdb7-68a5d%22	https://accountsfn.xyz/images/hero_right_gs.png	C:/My%20Web%20Sites/test/accountsfn.xyz/images/hero_right_gs.png	(from https://accountsfn.xyz/about.html)
15:51:02	4599/4599	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Nov%202021%2014:51:02%20GMT	https://accountsfn.xyz/tos.html	C:/My%20Web%20Sites/test/accountsfn.xyz/tos.html	(from https://accountsfn.xyz/about.html)
15:51:03	7164/7164	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Nov%202021%2014:51:02%20GMT	https://accountsfn.xyz/pp.html	C:/My%20Web%20Sites/test/accountsfn.xyz/pp.html	(from https://accountsfn.xyz/about.html)
15:51:03	2922/2922	---MCZ	200	added ('OK')	text/css	etag:W/%22619409d8-b6a%22	https://accountsfn.xyz/styles/feedback.min.css	C:/My%20Web%20Sites/test/accountsfn.xyz/styles/feedback.min.css	(from https://accountsfn.xyz/feedbacks.html)
15:51:03	1997/1997	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Nov%202021%2014:51:02%20GMT	https://accountsfn.xyz/true/index.html	C:/My%20Web%20Sites/test/accountsfn.xyz/true/index.html	(from https://accountsfn.xyz/code.jquery.com/jquery-3.4.1.js)
15:51:03	0/0	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Nov%202021%2014:51:03%20GMT	https://accountsfn.xyz/cdn-cgi/l/email-protection.html	C:/My%20Web%20Sites/test/accountsfn.xyz/cdn-cgi/l/email-protection.html	(from https://accountsfn.xyz/tos.html)
15:51:04	151/151	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Nov%202021%2014:51:03%20GMT	https://accountsfn.xyz/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.html	C:/My%20Web%20Sites/test/accountsfn.xyz/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.html	(from https://accountsfn.xyz/tos.html)
